序号,诉求,诉求时间,回复时间
1,去年六月买的车，今年因为疫情购置税有没有退？汽车贷款有没有减免？,2020-04-06,2020-04-07
2,办的企业一直没有营业，还需要每个月都报税吗？能不能办理暂停。,2020-03-18,2020-03-31
3,"怎么申报不了,说我未通过实名认证,怎么处理",2020-03-28,2020-03-31
4,我的孩子在西村叔叔面包店（万象城）订了个生日蛋糕，当时交了费，而我并不知道。当我拿提货单去取的时候，收银台又让我再次缴费，而且缴费成功。回来后我在发现同一个蛋糕编码的两张缴费单据，而且不是正规发票。我怀疑该店的结算系统不能如实登记经营记账，隐瞒销售收入，涉嫌违规经营，请有关部门查实后，给我们个满意的解释。,2020-03-13,2020-03-20
5,在政务网上费劲抢到的海一诺德的口罩没有钢圈，是不合格品，竟然还能公开出售！在这种时刻，对这种防护用品，就没有质量检查了吗！？,2020-03-20,2020-03-20
6,https://kdocs.cn/l/sVYqxpPel?f=503[金山文档] 诉 求 书.doc,2020-03-09,2020-03-17
7,即墨区烟草局送烟人员态度非常差，一副爱要不要的态度。,2020-03-07,2020-03-16
8,为什么我上3月7号预定的口罩3月14还没到？？？,2020-03-14,2020-03-15
9,观澜国际小区青岛宝泰通物业管理有限公司收物业费不给开发票，收了两三年的物业费了，从来没有给过发票，只给开一个收据，整个小区的业主都是收据没有发票，这是严重的偷税漏税行为，请税务部门予以纠正违法行为，并予以刑事立案我国《刑法》第二百零一条规定了偷税罪，第二百零三条规定了逃避追缴欠税罪。 《刑法》第二百零一条规定:,2020-03-08,2020-03-13
10,请问领导，我们小学生校外托管班的活路在哪？我们一直交着房租，养着人工！请领导指条明路。,2020-03-13,2020-03-13
11,请问领导，我们小学生校外托管班的活路在哪？我们一直交着房租，养着人工！请领导指条明路。,2020-03-13,2020-03-13
12,https://kdocs.cn/l/sVYqxpPel?f=503[金山文档] 诉 求 书.doc,2020-03-09,2020-03-13
13,我是一家咨询公司，想办理代理记账业务，怎么办理,2020-03-12,2020-03-12
